weight,height,label
72,139,fat
45,185,thin
40,133,normal
67,195,thin
47,130,fat
77,133,fat
43,194,thin
47,192,thin
80,165,fat
50,132,fat
54,145,fat
76,184,normal
75,179,normal
51,150,normal
43,128,fat
58,181,thin
41,196,thin
64,144,fat
79,134,fat
54,156,normal
40,149,thin
39,194,thin
35,124,normal
55,146,fat
44,155,thin
62,127,fat
53,132,fat
78,167,fat
74,133,fat
62,182,normal
59,165,normal
39,150,thin
66,156,fat
45,168,thin
77,132,fat
45,192,thin
45,145,normal
35,196,thin
75,158,fat
39,176,thin
38,164,thin
66,179,normal
57,159,normal
45,139,normal
63,177,normal
54,158,normal
60,167,normal
80,196,normal
77,150,fat
67,171,normal
59,161,normal
43,159,thin
48,137,fat
79,166,fat
66,194,thin
53,190,thin
69,126,fat
50,178,thin
71,136,fat
41,157,thin
36,168,thin
58,185,thin
35,130,normal
42,135,normal
42,134,normal
79,146,fat
40,146,normal
56,136,fat
46,197,thin
58,139,fat
60,155,normal
54,160,normal
78,177,normal
37,145,thin
40,147,normal
61,165,normal
77,179,normal
76,136,fat
41,155,thin
72,162,fat
63,148,fat
56,187,thin
76,145,fat
77,135,fat
35,162,thin
37,124,normal
65,152,fat
56,140,fat
57,156,normal
54,173,thin
67,138,fat
59,124,fat
58,158,normal
62,149,fat
47,176,thin
38,127,normal
56,130,fat
74,126,fat
60,186,thin
75,151,fat
37,125,normal
65,194,thin
61,141,fat
71,161,fat
40,162,thin
57,164,normal
75,187,normal
50,120,fat
45,189,thin
47,169,thin
48,173,thin
57,199,thin
63,192,thin
44,190,thin
64,132,fat
64,184,normal
63,186,thin
78,168,fat
63,126,fat
80,139,fat
78,164,fat
72,184,normal
44,130,fat
41,138,normal
72,147,fat
65,133,fat
74,159,fat
62,147,fat
67,183,normal
57,159,normal
68,131,fat
35,174,thin
47,193,thin
50,147,normal
70,144,fat
61,180,normal
35,154,thin
77,151,fat
38,198,thin
75,198,normal
54,181,thin
66,121,fat
48,200,thin
56,155,normal
58,140,fat
59,139,fat
71,183,normal
66,192,thin
65,138,fat
79,180,normal
45,191,thin
80,154,fat
66,124,fat
78,191,normal
45,200,thin
65,134,fat
57,163,normal
66,146,fat
65,182,normal
59,188,thin
73,173,normal
44,131,fat
74,174,normal
43,162,thin
37,154,thin
38,187,thin
60,176,normal
50,163,normal
76,137,fat
72,192,normal
36,151,thin
46,122,fat
73,126,fat
56,170,normal
47,196,thin
48,149,normal
66,159,fat
56,191,thin
61,133,fat
70,130,fat
40,170,thin
57,188,thin
59,168,normal
73,196,normal
41,158,thin
69,160,fat
58,198,thin
62,132,fat
53,150,normal
73,157,fat
61,131,fat
45,189,thin
47,133,fat
57,132,fat
50,190,thin
46,179,thin
78,190,normal
61,176,normal
42,196,thin
77,123,fat
40,146,normal
46,131,fat
47,167,thin
43,157,thin
55,200,thin
57,172,normal
73,188,normal
51,159,normal
45,147,normal
52,126,fat
38,187,thin
58,177,normal
45,163,thin
65,121,fat
74,178,normal
66,179,normal
58,152,fat
55,198,thin
39,170,thin
38,193,thin
35,151,thin
49,148,normal
79,176,fat
62,147,fat
55,176,thin
47,198,thin
63,163,normal
70,145,fat
63,175,normal
72,166,fat
46,170,thin
56,168,normal
57,122,fat
43,137,normal
43,180,thin
57,176,thin
61,138,fat
49,195,thin
62,125,fat
70,196,thin
64,161,normal
40,184,thin
80,188,normal
76,120,fat
72,151,fat
67,159,fat
46,128,fat
73,121,fat
70,158,fat
56,164,normal
67,192,thin
40,163,thin
54,130,fat
37,160,thin
57,162,normal
76,135,fat
45,192,thin
67,143,fat
75,156,fat
52,135,fat
37,163,thin
79,188,normal
74,149,fat
37,187,thin
78,159,fat
48,181,thin
63,141,fat
50,188,thin
47,124,fat
71,179,normal
64,187,thin
67,142,fat
76,194,normal
61,194,thin
74,193,normal
44,174,thin
71,139,fat
48,142,normal
78,199,normal
72,145,fat
60,199,thin
63,175,normal
57,154,normal
56,193,thin
68,175,normal
42,134,normal
50,186,thin
35,168,thin
67,189,normal
70,131,fat
48,188,thin
54,146,fat
57,122,fat
64,156,fat
55,188,thin
43,161,thin
50,152,normal
77,169,fat
60,181,thin
51,160,normal
48,147,normal
71,139,fat
37,184,thin
36,149,thin
47,145,normal
46,151,normal
56,156,normal
73,192,normal
50,160,normal
73,164,fat
43,146,normal
42,128,fat
56,143,fat
37,125,normal
49,178,thin
65,171,normal
40,133,normal
63,153,fat
68,165,normal
60,131,fat
73,160,fat
68,134,fat
71,161,fat
66,125,fat
65,122,fat
78,129,fat
79,158,fat
55,146,fat
57,178,thin
68,187,normal
39,195,thin
56,151,normal
51,168,thin
67,184,normal
76,128,fat
68,185,normal
58,123,fat
71,197,thin
69,197,thin
40,175,thin
78,181,normal
69,196,thin
39,178,thin
59,197,thin
78,188,normal
61,185,thin
38,197,thin
39,167,thin
68,133,fat
70,177,normal
47,199,thin
79,127,fat
67,152,fat
49,175,thin
65,124,fat
70,149,fat
60,188,thin
41,189,thin
80,170,fat
50,169,thin
37,126,normal
41,129,normal
74,185,normal
73,171,normal
48,134,fat
75,129,fat
63,154,fat
39,194,thin
73,197,normal
69,191,normal
59,127,fat
72,175,normal
38,155,thin
43,129,fat
36,179,thin
47,138,normal
76,130,fat
50,161,normal
66,160,fat
69,198,thin
43,157,thin
55,197,thin
36,195,thin
74,192,normal
60,169,normal
71,120,fat
41,140,normal
62,165,normal
35,183,thin
78,126,fat
63,184,normal
45,184,thin
76,159,fat
41,181,thin
60,195,thin
62,120,fat
35,160,thin
41,136,normal
43,162,thin
79,191,normal
68,169,normal
43,198,thin
65,171,normal
50,155,normal
78,177,normal
58,181,thin
40,140,normal
63,163,normal
72,150,fat
55,199,thin
63,150,fat
58,163,normal
48,147,normal
63,141,fat
52,159,normal
41,147,normal
52,181,thin
43,173,thin
52,199,thin
49,124,fat
78,129,fat
59,150,fat
76,123,fat
50,186,thin
45,145,normal
60,137,fat
45,195,thin
59,139,fat
59,132,fat
41,190,thin
64,129,fat
65,160,fat
42,143,normal
60,155,normal
61,121,fat
70,195,thin
40,174,thin
70,120,fat
57,168,normal
51,166,normal
66,191,thin
55,169,normal
65,158,fat
43,147,normal
38,186,thin
74,146,fat
59,169,normal
77,198,normal
36,174,thin
65,137,fat
70,140,fat
37,156,thin
35,172,thin
42,182,thin
58,179,thin
64,164,normal
70,195,thin
74,147,fat
51,170,thin
61,124,fat
72,147,fat
40,175,thin
66,180,normal
55,124,fat
59,199,thin
67,160,fat
56,163,normal
71,140,fat
36,189,thin
70,120,fat
69,142,fat
35,156,thin
37,175,thin
69,145,fat
44,187,thin
70,189,normal
74,145,fat
56,156,normal
61,186,thin
41,130,normal
50,150,normal
71,189,normal
35,180,thin
70,189,normal
36,172,thin
72,138,fat
71,137,fat
36,138,normal
79,181,normal
48,196,thin
74,125,fat
51,131,fat
74,143,fat
69,145,fat
68,144,fat
63,134,fat
49,129,fat
71,172,normal
75,197,normal
44,173,thin
52,157,normal
44,167,thin
56,164,normal
62,187,thin
76,187,normal
37,174,thin
77,191,normal
42,169,thin
37,139,normal
70,186,normal
35,191,thin
54,147,normal
69,161,fat
39,180,thin
68,166,normal
76,127,fat
52,200,thin
35,154,thin
52,165,normal
37,128,normal
68,172,normal
71,186,normal
53,149,normal
48,188,thin
58,165,normal
50,200,thin
39,181,thin
75,130,fat
66,136,fat
61,151,fat
63,149,fat
56,158,normal
79,177,fat
78,181,normal
61,187,thin
64,124,fat
38,130,normal
76,173,fat
59,130,fat
55,137,fat
65,199,thin
40,146,normal
56,190,thin
53,125,fat
72,144,fat
56,140,fat
40,133,normal
49,195,thin
61,200,thin
67,139,fat
66,122,fat
54,156,normal
41,152,thin
48,187,thin
70,155,fat
60,159,normal
52,127,fat
73,163,fat
70,137,fat
59,192,thin
59,167,normal
44,173,thin
75,178,normal
73,156,fat
42,126,fat
57,156,normal
79,149,fat
78,149,fat
43,153,thin
38,137,normal
39,141,normal
80,134,fat
79,185,normal
65,160,fat
66,139,fat
40,185,thin
76,200,normal
35,170,thin
78,194,normal
55,196,thin
51,149,normal
79,186,normal
75,154,fat
67,150,fat
57,166,normal
38,161,thin
57,140,fat
68,131,fat
44,200,thin
67,146,fat
75,193,normal
52,151,normal
58,158,normal
35,159,thin
39,125,normal
75,189,normal
61,188,thin
53,176,thin
71,127,fat
44,170,thin
55,149,normal
42,159,thin
75,180,normal
65,157,fat
71,194,normal
52,175,thin
65,168,normal
79,198,normal
78,184,normal
45,195,thin
37,125,normal
61,183,thin
57,133,fat
71,189,normal
51,178,thin
65,161,fat
63,152,fat
73,176,normal
53,186,thin
36,145,thin
66,121,fat
70,148,fat
36,176,thin
36,183,thin
48,178,thin
44,178,thin
61,126,fat
52,192,thin
76,187,normal
49,158,normal
66,127,fat
61,190,thin
74,180,normal
71,183,normal
80,179,normal
52,189,thin
58,195,thin
76,178,normal
68,133,fat
35,134,normal
42,131,normal
48,188,thin
66,173,normal
63,149,fat
51,165,normal
42,149,normal
71,140,fat
74,177,normal
79,132,fat
74,187,normal
71,195,normal
36,173,thin
60,135,fat
78,184,normal
67,151,fat
69,132,fat
75,122,fat
37,156,thin
75,135,fat
50,190,thin
62,157,fat
75,158,fat
80,171,fat
69,122,fat
72,191,normal
58,176,normal
76,175,normal
77,186,normal
73,189,normal
43,144,normal
70,184,normal
43,198,thin
57,154,normal
42,139,normal
52,199,thin
40,146,normal
45,136,normal
74,144,fat
75,176,normal
62,160,normal
48,120,fat
66,126,fat
36,200,thin
76,164,fat
78,192,normal
73,141,fat
42,145,normal
63,185,thin
39,187,thin
36,150,thin
58,172,normal
48,121,fat
79,164,fat
50,174,thin
57,124,fat
58,165,normal
66,125,fat
53,129,fat
80,190,normal
73,142,fat
72,130,fat
73,151,fat
47,146,normal
68,188,normal
57,178,thin
64,183,normal
67,188,normal
64,123,fat
51,137,fat
68,147,fat
74,131,fat
74,141,fat
45,169,thin
74,184,normal
38,153,thin
50,147,normal
52,155,normal
46,157,normal
66,142,fat
80,182,normal
71,161,fat
52,157,normal
49,155,normal
35,186,thin
72,120,fat
35,197,thin
39,164,thin
55,149,normal
41,149,thin
61,124,fat
51,154,normal
61,123,fat
37,155,thin
38,161,thin
39,149,thin
54,185,thin
37,155,thin
79,194,normal
42,182,thin
44,136,normal
77,178,normal
66,125,fat
80,135,fat
78,144,fat
54,136,fat
56,168,normal
57,156,normal
73,196,normal
50,163,normal
61,167,normal
53,196,thin
70,170,normal
75,171,fat
75,185,normal
60,198,thin
51,124,fat
57,151,normal
60,200,thin
35,128,normal
61,175,normal
74,193,normal
68,191,normal
65,130,fat
65,126,fat
47,193,thin
66,137,fat
79,162,fat
66,177,normal
39,186,thin
70,131,fat
51,136,fat
51,199,thin
41,188,thin
70,185,normal
50,125,fat
56,130,fat
51,145,normal
51,190,thin
53,185,thin
40,143,normal
59,190,thin
69,183,normal
58,151,fat
50,128,fat
45,172,thin
75,195,normal
44,166,thin
70,159,fat
59,164,normal
44,127,fat
47,198,thin
46,177,thin
47,159,normal
69,186,normal
49,177,thin
41,157,thin
49,156,normal
53,137,fat
70,177,normal
69,160,fat
77,135,fat
72,153,fat
62,185,thin
39,195,thin
51,175,thin
43,139,normal
76,195,normal
41,193,thin
58,188,thin
66,198,thin
38,144,thin
39,152,thin
58,122,fat
38,130,normal
80,166,fat
35,155,thin
41,189,thin
71,139,fat
72,128,fat
77,154,fat
62,131,fat
47,121,fat
75,192,normal
58,171,normal
44,133,normal
63,165,normal
43,147,normal
63,161,normal
36,192,thin
62,123,fat
77,195,normal
38,189,thin
74,151,fat
43,183,thin
42,196,thin
66,188,normal
60,192,thin
37,153,thin
40,156,thin
74,166,fat
78,146,fat
46,121,fat
61,196,thin
71,177,normal
42,160,thin
35,199,thin
51,146,normal
41,159,thin
38,152,thin
52,171,thin
68,179,normal
61,153,fat
39,146,thin
71,163,fat
77,196,normal
56,139,fat
45,136,normal
78,173,fat
49,160,normal
41,184,thin
70,142,fat
61,130,fat
52,139,fat
78,155,fat
74,140,fat
59,126,fat
38,126,normal
65,143,fat
75,149,fat
63,185,thin
74,154,fat
57,133,fat
57,139,fat
58,186,thin
67,181,normal
58,170,normal
58,149,fat
40,150,thin
74,172,fat
41,145,normal
74,147,fat
53,158,normal
71,163,fat
74,191,normal
39,140,normal
53,153,normal
69,167,normal
42,143,normal
52,134,fat
45,135,normal
48,180,thin
68,174,normal
78,138,fat
49,191,thin
67,128,fat
61,140,fat
79,154,fat
59,140,fat
75,154,fat
52,171,thin
55,183,thin
70,134,fat
41,178,thin
45,188,thin
41,149,thin
65,167,normal
55,151,normal
71,198,thin
64,184,normal
57,145,fat
57,146,fat
53,183,thin
78,188,normal
66,145,fat
37,167,thin
37,140,normal
61,155,fat
74,157,fat
46,152,normal
44,148,normal
38,148,thin
42,182,thin
49,120,fat
70,124,fat
68,156,fat
66,165,normal
80,185,normal
77,120,fat
61,181,normal
72,198,thin
42,165,thin
65,164,normal
43,174,thin
60,141,fat
44,160,thin
71,163,fat
70,133,fat
45,123,fat
69,171,normal
74,163,fat
57,176,thin
49,190,thin
40,138,normal
52,143,fat
65,192,thin
48,185,thin
35,142,thin
74,185,normal
53,182,thin
73,134,fat
72,197,normal
70,165,fat
41,155,thin
39,195,thin
35,151,thin
48,160,normal
50,180,thin
76,142,fat
41,190,thin
66,156,fat
68,132,fat
38,161,thin
71,140,fat
51,187,thin
76,150,fat
57,192,thin
46,153,normal
70,129,fat
71,125,fat
77,129,fat
70,123,fat
58,198,thin
55,183,thin
63,189,thin
66,134,fat
76,146,fat
77,140,fat
59,187,thin
62,144,fat
40,195,thin
48,173,thin
80,153,fat
70,171,normal
42,123,fat
47,162,thin
45,172,thin
68,162,fat
61,198,thin
60,151,fat
65,121,fat
76,160,fat
60,152,fat
80,142,fat
36,142,thin
43,132,normal
78,122,fat
76,192,normal
57,184,thin
59,183,thin
49,173,thin
38,184,thin
46,161,thin
36,176,thin
52,130,fat
35,181,thin
43,138,normal
65,187,normal
59,134,fat
38,123,fat
41,132,normal
63,152,fat
79,154,fat
49,134,fat
74,143,fat
55,156,normal
78,161,fat
47,167,thin
69,125,fat
40,186,thin
69,131,fat
62,125,fat
72,170,normal
47,200,thin
79,163,fat
61,137,fat
73,134,fat
36,147,thin
35,193,thin
62,163,normal
64,135,fat
38,187,thin
74,159,fat
63,185,thin
61,195,thin
38,193,thin
49,139,fat
44,137,normal
57,192,thin
50,199,thin
56,192,thin
57,137,fat
52,172,thin
60,189,thin
76,163,fat
69,145,fat
44,172,thin
42,194,thin
43,144,normal
54,127,fat
61,196,thin
48,147,normal
52,162,normal
50,130,fat
46,186,thin
69,161,fat
62,199,thin
67,143,fat
75,200,normal
56,172,normal
74,169,fat
53,125,fat
59,157,normal
71,189,normal
46,161,thin
76,139,fat
41,151,thin
44,143,normal
69,143,fat
69,158,fat
43,193,thin
44,158,thin
53,144,fat
52,152,normal
55,131,fat
35,183,thin
51,193,thin
64,194,thin
58,196,thin
70,127,fat
44,200,thin
58,165,normal
36,182,thin
72,151,fat
64,121,fat
62,134,fat
51,152,normal
49,122,fat
35,166,thin
80,167,fat
45,121,fat
53,181,thin
51,199,thin
66,181,normal
42,126,fat
